customer_id,customer_name,age_group,gender,country,purchase_channel
CUST00095,Bryan Griffith,26-35,Other,United Kingdom,Online Store
CUST00096,Mark Hood,18-25,Female,United Kingdom,Retail Store
CUST00097,David Obrien,36-45,Male,United Kingdom,Carrier Store
CUST00098,Brenda Palmer,18-25,Male,Canada,Carrier Store
CUST00099,Katherine Hernandez,46-55,Other,India,Third-Party Marketplace
CUST00100,Linda Blair,46-55,Female,India,Third-Party Marketplace
CUST00101,Katrina Flores,46-55,Other,United States,Online Store
CUST00102,Diane Gallegos,18-25,Female,United Kingdom,Online Store
CUST00103,Tasha Schmidt,36-45,Male,Australia,Retail Store
CUST00104,Amy Novak,36-45,Male,United States,Online Store
CUST00105,Jason Gomez,46-55,Male,Australia,Carrier Store
CUST00106,Jennifer Knapp,36-45,Male,Australia,Third-Party Marketplace
CUST00107,Dakota Howard,26-35,Other,United Kingdom,Carrier Store
CUST00108,Kristen Hughes,18-25,Male,Canada,Third-Party Marketplace
CUST00109,Tyler Dennis,46-55,Other,India,Third-Party Marketplace
CUST00110,Andrew Obrien,56+,Other,United Kingdom,Retail Store
CUST00111,Xavier Fleming,36-45,Male,Canada,Carrier Store
CUST00112,Kimberly Phillips,36-45,Other,United Kingdom,Online Store
CUST00113,Glenn Stephens,36-45,Other,Canada,Carrier Store
CUST00114,Edward Jackson Jr.,56+,Other,Canada,Carrier Store
CUST00115,Kelly Fields,36-45,Female,Canada,Retail Store
CUST00116,Amanda Wade,18-25,Male,United Kingdom,Third-Party Marketplace
CUST00117,Stacey Shelton,36-45,Other,Canada,Third-Party Marketplace
CUST00118,Megan Cruz,18-25,Other,United States,Retail Store
CUST00119,Willie Fuller,26-35,Other,United Kingdom,Retail Store
CUST00120,Tracy Johnson,18-25,Other,United States,Online Store
CUST00121,Joan Miller,18-25,Male,Australia,Carrier Store
CUST00122,Jennifer Hunt,18-25,Female,India,Third-Party Marketplace
CUST00123,Michael Dean,36-45,Other,Canada,Third-Party Marketplace
CUST00124,Jacqueline Vincent,36-45,Male,United Kingdom,Third-Party Marketplace
CUST00125,Allison Hays,56+,Male,Canada,Third-Party Marketplace
CUST00126,Chase Conley,56+,Female,United States,Online Store
CUST00127,Kelsey Rosales,46-55,Other,United Kingdom,Online Store
CUST00128,Cindy Trevino,36-45,Female,United Kingdom,Retail Store
CUST00129,Fred Nelson,18-25,Male,Australia,Online Store
CUST00130,Samantha Campbell,18-25,Female,India,Third-Party Marketplace
CUST00131,Isaac Moody,26-35,Male,United States,Carrier Store
CUST00132,Jason Montoya,46-55,Female,United States,Carrier Store
CUST00133,Kimberly Vaughn,56+,Other,United Kingdom,Carrier Store
CUST00134,Jody Williams,36-45,Other,United Kingdom,Third-Party Marketplace
CUST00135,Thomas Rollins,26-35,Other,Canada,Online Store
CUST00136,Mark Rogers,36-45,Other,United Kingdom,Retail Store
CUST00137,Jacob Rodriguez,26-35,Other,India,Online Store
CUST00138,Jonathan Rivera,56+,Male,Canada,Third-Party Marketplace
CUST00139,Brett Baldwin,36-45,Other,United Kingdom,Carrier Store
CUST00140,Melvin Jackson,26-35,Female,Australia,Retail Store
CUST00141,Lindsay Schultz,36-45,Male,United States,Retail Store
CUST00142,Ryan Smith,56+,Other,United Kingdom,Retail Store
CUST00143,Jessica Mann,56+,Female,Canada,Third-Party Marketplace
CUST00144,Christina Love,26-35,Male,United Kingdom,Online Store
CUST00145,Shaun Hunt,46-55,Other,India,Online Store
CUST00146,Henry Richards,18-25,Female,United States,Carrier Store
CUST00147,Matthew Rosario,46-55,Female,United States,Online Store
CUST00148,Jerry Roman,46-55,Other,United States,Retail Store
CUST00149,Laura Webb,26-35,Other,Canada,Retail Store
CUST00150,Sara Duarte,36-45,Male,India,Online Store
CUST00151,Kimberly Cherry,18-25,Male,Canada,Online Store
CUST00152,Jeffrey Christensen,56+,Other,India,Carrier Store
CUST00153,William Hart,18-25,Other,Australia,Third-Party Marketplace
CUST00154,Tony Lopez,56+,Male,Australia,Retail Store
CUST00155,Miranda Krause,36-45,Male,United States,Online Store
CUST00156,Andrew Turner,56+,Other,India,Online Store
CUST00157,Garrett Lee,18-25,Other,Canada,Carrier Store
CUST00158,Joel Barber,18-25,Other,United Kingdom,Carrier Store
CUST00159,John Webb,36-45,Female,Canada,Online Store
CUST00160,Stephen Walker,18-25,Male,Australia,Carrier Store
CUST00161,Christian Cruz,26-35,Male,United States,Carrier Store
CUST00162,Michael Fitzgerald,36-45,Male,United States,Carrier Store
CUST00163,Mr. Brett Cochran,26-35,Female,India,Retail Store
CUST00164,Brandon Pennington,36-45,Female,United States,Carrier Store
CUST00165,Lisa Parker,46-55,Female,India,Retail Store
CUST00166,Jason Williams,56+,Male,India,Carrier Store
CUST00167,Thomas Miller,36-45,Female,United States,Online Store
CUST00168,Gwendolyn Huang,26-35,Female,United Kingdom,Retail Store
CUST00169,Teresa Moore,46-55,Female,India,Online Store
CUST00170,Thomas Aguirre,36-45,Other,United States,Third-Party Marketplace
CUST00171,Lisa Davis,36-45,Female,Australia,Retail Store
CUST00172,Megan Roman,26-35,Male,United States,Retail Store
CUST00173,Colleen Obrien,18-25,Other,India,Online Store
CUST00174,James Herring,46-55,Female,Australia,Third-Party Marketplace
CUST00175,Jessica Thompson,46-55,Other,India,Third-Party Marketplace
CUST00176,Roger Clark,56+,Female,United Kingdom,Carrier Store
CUST00177,Tony Strickland,56+,Other,India,Retail Store
CUST00178,Angelica Cantrell,36-45,Other,United Kingdom,Online Store
CUST00179,Breanna Espinoza,26-35,Male,Canada,Carrier Store
CUST00180,Mitchell Kim,18-25,Female,India,Third-Party Marketplace
CUST00181,Wendy Smith,56+,Other,India,Retail Store
CUST00182,Michael Arnold,56+,Male,United Kingdom,Online Store
CUST00183,Robert Hanson,18-25,Male,United Kingdom,Third-Party Marketplace
CUST00184,Ryan Watts,18-25,Other,United Kingdom,Online Store
CUST00185,Aimee Rollins,26-35,Female,United Kingdom,Online Store
CUST00186,Jack Lester,26-35,Female,India,Online Store
CUST00187,Jennifer Fuentes,56+,Other,Canada,Carrier Store
CUST00188,Mrs. Alison Johnson,26-35,Female,Australia,Third-Party Marketplace
CUST00189,Christopher Morrow,56+,Other,United Kingdom,Carrier Store
CUST00190,Joshua Lawrence,26-35,Female,Australia,Online Store
CUST00191,Daniel Bailey,46-55,Female,Australia,Carrier Store
CUST00192,Henry Williams,46-55,Male,United Kingdom,Carrier Store
CUST00193,Andrew Anderson,18-25,Male,United States,Carrier Store
CUST00194,April Griffin,26-35,Other,United Kingdom,Retail Store
CUST00195,Julie Long,36-45,Female,United Kingdom,Retail Store
CUST00196,Michael Brown,26-35,Male,United Kingdom,Retail Store
CUST00197,Alison Mann,18-25,Other,United Kingdom,Carrier Store
CUST00198,David Johnson MD,36-45,Male,Australia,Third-Party Marketplace
CUST00199,Cindy Newman DDS,36-45,Other,India,Third-Party Marketplace
CUST00200,Mrs. Brenda Costa MD,26-35,Other,Canada,Third-Party Marketplace
CUST00201,Mrs. Elizabeth Ho,26-35,Male,United Kingdom,Retail Store
CUST00202,Curtis Lowe,18-25,Male,United Kingdom,Retail Store
CUST00203,Christopher Cole,56+,Male,United Kingdom,Third-Party Marketplace
CUST00204,Jeff Rodriguez,46-55,Other,Canada,Carrier Store
CUST00205,Isaac Mora DDS,18-25,Other,United States,Retail Store
CUST00206,Stephen Young,56+,Male,United States,Third-Party Marketplace
CUST00207,Nicole Ball,46-55,Other,India,Carrier Store
CUST00208,Dr. Jon Lopez,18-25,Other,Australia,Third-Party Marketplace
CUST00209,Travis Anderson,18-25,Female,India,Carrier Store
CUST00210,Juan Nelson,18-25,Male,United States,Third-Party Marketplace
CUST00211,Gregory Griffin,46-55,Female,United Kingdom,Online Store
CUST00212,Matthew Edwards,18-25,Other,Canada,Third-Party Marketplace
CUST00213,Melinda Pham,46-55,Other,Australia,Retail Store
CUST00214,David Reyes,56+,Female,United Kingdom,Online Store
CUST00215,Tracy Richardson,26-35,Male,Australia,Carrier Store
CUST00216,Michele Noble,18-25,Female,United Kingdom,Third-Party Marketplace
CUST00217,Heather Patel,18-25,Male,Canada,Online Store
CUST00218,Cameron Martinez,56+,Other,Canada,Carrier Store
CUST00219,Kyle Anderson,36-45,Other,United States,Third-Party Marketplace
CUST00220,Paula Williams,56+,Other,India,Third-Party Marketplace
CUST00221,Mr. Glenn Hoffman,36-45,Other,United States,Third-Party Marketplace
CUST00222,Richard Pittman,18-25,Other,Canada,Retail Store
CUST00223,Lauren Williams,46-55,Male,United Kingdom,Third-Party Marketplace
CUST00224,Robert Johnson,56+,Female,Canada,Online Store
CUST00225,Maria Perry,18-25,Female,Canada,Carrier Store
CUST00226,Joseph Thompson,18-25,Female,United States,Third-Party Marketplace
CUST00227,Tony Jenkins,36-45,Female,United States,Online Store
CUST00228,Ashley Serrano,36-45,Other,United States,Online Store
CUST00229,Craig Lara,26-35,Female,Australia,Carrier Store
CUST00230,Cheryl Zuniga,26-35,Male,United Kingdom,Online Store
CUST00231,Danielle Swanson,26-35,Other,India,Carrier Store
CUST00232,Sally Phillips,56+,Other,Australia,Carrier Store
CUST00233,Douglas Brown,18-25,Male,United Kingdom,Carrier Store
CUST00234,James Barker,18-25,Other,Australia,Retail Store
CUST00235,Elizabeth Blackwell,26-35,Female,Australia,Retail Store
CUST00236,Amy Brady,46-55,Other,United Kingdom,Retail Store
CUST00237,Jennifer Jones,18-25,Female,Canada,Carrier Store
CUST00238,William Williams,18-25,Female,India,Carrier Store
CUST00239,Abigail Stewart,26-35,Other,Australia,Retail Store
CUST00240,Teresa Benitez,36-45,Male,Canada,Third-Party Marketplace
CUST00241,Darrell Young,46-55,Male,United States,Retail Store
CUST00242,Bobby Bennett,56+,Other,Canada,Third-Party Marketplace
CUST00243,Sally Smith,36-45,Male,Canada,Retail Store
CUST00244,Danny Moore,56+,Other,Australia,Online Store
CUST00245,Kristin Morris,26-35,Other,India,Online Store
CUST00246,Kenneth Bowman,36-45,Other,Australia,Third-Party Marketplace
CUST00247,Melissa Waller,56+,Female,United Kingdom,Third-Party Marketplace
CUST00248,Anne Martinez,36-45,Male,Australia,Third-Party Marketplace
CUST00249,Roberto Cook,46-55,Female,Australia,Third-Party Marketplace
CUST00250,Jerry Tucker,26-35,Other,United States,Third-Party Marketplace
CUST00251,Shirley Salazar,18-25,Other,Australia,Online Store
CUST00252,Joseph Allen,18-25,Other,India,Online Store
CUST00253,Brandon Rosario,26-35,Male,United States,Third-Party Marketplace
CUST00254,Frank Khan,56+,Female,Australia,Online Store
CUST00255,Kelly Castaneda,18-25,Male,United Kingdom,Retail Store
CUST00256,Darren Bauer,18-25,Female,India,Third-Party Marketplace
CUST00257,Dr. Jonathan Brown MD,46-55,Female,United Kingdom,Third-Party Marketplace
CUST00258,April Cruz,56+,Male,United Kingdom,Online Store
CUST00259,Margaret Curry,18-25,Female,India,Third-Party Marketplace
CUST00260,Karen Bennett,56+,Female,India,Retail Store
CUST00261,Gregory Pace,46-55,Male,United States,Online Store
CUST00262,Jesse Davis,18-25,Female,India,Online Store
CUST00263,Jeremy Stevens,36-45,Male,United Kingdom,Online Store
CUST00264,Lisa Watts,36-45,Male,India,Retail Store
CUST00265,Matthew Andrade,36-45,Female,United Kingdom,Online Store
CUST00266,Stephanie Nichols,36-45,Other,Australia,Online Store
CUST00267,Dorothy Lewis,46-55,Male,Canada,Carrier Store
CUST00268,Dominic Green,36-45,Female,Canada,Carrier Store
CUST00269,Carol Sanchez,46-55,Other,United Kingdom,Online Store
CUST00270,Abigail Jones,26-35,Female,India,Third-Party Marketplace
CUST00271,Jessica Shelton,18-25,Female,United States,Carrier Store
CUST00272,Christina Ho,36-45,Other,United Kingdom,Retail Store
CUST00273,Joshua Owens,18-25,Other,United Kingdom,Carrier Store
CUST00274,Olivia Dunn,36-45,Other,Australia,Online Store
CUST00275,Jo Elliott,36-45,Male,Australia,Online Store
CUST00276,Nicholas Mueller,56+,Other,Australia,Carrier Store
CUST00277,Carrie Taylor,36-45,Male,United Kingdom,Online Store
CUST00278,Karen Dodson,36-45,Male,India,Retail Store
CUST00279,Eduardo Webb,18-25,Male,Canada,Online Store
CUST00280,Julie Browning,46-55,Other,United Kingdom,Online Store
CUST00281,Katherine Castro,56+,Other,United States,Carrier Store
CUST00282,Stephen Peters,26-35,Female,Canada,Carrier Store
CUST00283,Eric Doyle,26-35,Other,United States,Carrier Store
CUST00284,Bradley Martin,46-55,Female,United States,Online Store
CUST00285,Megan Woods,36-45,Female,India,Retail Store
CUST00286,Thomas Brown,18-25,Male,Canada,Retail Store
CUST00287,Angela Owen,56+,Other,Canada,Retail Store
CUST00288,Robert Haynes,26-35,Female,Canada,Retail Store
CUST00289,Erin Washington,26-35,Male,Australia,Online Store
CUST00290,Tanner Mckee,56+,Female,Canada,Third-Party Marketplace
CUST00291,Frederick Cooper,56+,Other,Canada,Retail Store
CUST00292,Barbara Lopez,18-25,Male,Canada,Retail Store
CUST00293,David Hicks,56+,Female,India,Third-Party Marketplace
CUST00294,Mr. Nicholas Davidson,36-45,Female,India,Carrier Store
CUST00295,Dr. Christian Cain,18-25,Female,Australia,Retail Store
CUST00296,Miss Tamara Robertson,26-35,Male,Canada,Third-Party Marketplace
CUST00297,Charles Mejia,26-35,Female,United Kingdom,Third-Party Marketplace
CUST00298,Cory Valdez,46-55,Male,United Kingdom,Third-Party Marketplace
CUST00299,Joseph Lewis,56+,Male,Australia,Third-Party Marketplace
CUST00300,Mary Lang,56+,Female,United Kingdom,Online Store
CUST00301,Jonathan Silva,46-55,Male,Canada,Third-Party Marketplace
CUST00302,Patricia Harrington,56+,Female,United States,Third-Party Marketplace
CUST00303,Tara Klein,26-35,Other,United Kingdom,Third-Party Marketplace
CUST00304,Hayley Moore,46-55,Female,India,Online Store
CUST00305,Dawn Sherman,56+,Other,United Kingdom,Online Store
CUST00306,Andrea Moreno,46-55,Other,India,Carrier Store
CUST00307,Adam Nguyen,26-35,Female,Canada,Third-Party Marketplace
CUST00308,Ashley Williams,18-25,Male,Canada,Retail Store
CUST00309,Jennifer Jensen,18-25,Female,Australia,Retail Store
CUST00310,Barbara Thomas,56+,Female,United States,Third-Party Marketplace
CUST00311,Sarah Fields,46-55,Female,Canada,Online Store
CUST00312,Brian Mullen MD,36-45,Other,Canada,Online Store
CUST00313,Jonathan Munoz,36-45,Female,Australia,Third-Party Marketplace
CUST00314,Donna Cook,26-35,Female,United States,Retail Store
CUST00315,Alfred Brady,56+,Male,Australia,Online Store
CUST00316,Lori Lamb,36-45,Female,India,Carrier Store
CUST00317,Ellen Bridges,46-55,Female,Australia,Carrier Store
CUST00318,Alison Webb,26-35,Other,Canada,Carrier Store
CUST00319,Carlos Hansen,18-25,Male,Canada,Third-Party Marketplace
CUST00320,Dakota Patterson,26-35,Other,United States,Online Store
CUST00321,Kevin Reynolds,26-35,Male,Australia,Retail Store
CUST00322,Nathan Erickson,46-55,Male,Australia,Third-Party Marketplace
CUST00323,Natalie Hoover,46-55,Other,Canada,Third-Party Marketplace
CUST00324,Nicole David,46-55,Other,Canada,Carrier Store
CUST00325,Elizabeth Sanders,46-55,Other,Canada,Third-Party Marketplace
CUST00326,Jessica Walls,26-35,Male,Australia,Third-Party Marketplace
CUST00327,Sharon Williams,46-55,Female,United Kingdom,Online Store
CUST00328,Jennifer Nichols,26-35,Female,India,Third-Party Marketplace
CUST00329,Bobby Hood,18-25,Other,United States,Retail Store
CUST00330,Mark Sullivan,36-45,Male,India,Carrier Store
CUST00331,Mrs. Barbara Anderson PhD,18-25,Female,United States,Third-Party Marketplace
CUST00332,Eric Yang,56+,Other,United States,Online Store
CUST00333,Joshua Morales,26-35,Male,Canada,Online Store
CUST00334,Andrea Newman,36-45,Male,India,Online Store
CUST00335,Marcus Cox,18-25,Other,United Kingdom,Carrier Store
CUST00336,Kevin Bauer,18-25,Other,United Kingdom,Third-Party Marketplace
CUST00337,April Blair,18-25,Male,United States,Retail Store
CUST00338,Darryl Garrison,18-25,Female,India,Online Store
CUST00339,James Sims,18-25,Male,United Kingdom,Online Store
CUST00340,John Collins,18-25,Female,India,Retail Store
CUST00341,Gina Flores,18-25,Male,India,Third-Party Marketplace
CUST00342,Michelle Santos,36-45,Other,Canada,Carrier Store
CUST00343,April Thompson,26-35,Female,United States,Third-Party Marketplace
CUST00344,Alexis Banks,26-35,Male,Canada,Online Store
CUST00345,Tammy Moss,26-35,Male,United States,Retail Store
CUST00346,Rebecca Maynard,36-45,Other,United Kingdom,Carrier Store
CUST00347,James Martinez,18-25,Female,United Kingdom,Online Store
CUST00348,Elizabeth Anderson,26-35,Other,United Kingdom,Retail Store
CUST00349,Julie Taylor,56+,Male,United Kingdom,Retail Store
CUST00350,Cory Burke,56+,Male,United States,Third-Party Marketplace
CUST00351,Melissa Anderson,56+,Other,Australia,Online Store
CUST00352,Karla Smith,56+,Female,United Kingdom,Third-Party Marketplace
CUST00353,William Webster,26-35,Male,United Kingdom,Carrier Store
CUST00354,Lori Harris,46-55,Male,Australia,Carrier Store
CUST00355,Carrie Golden,18-25,Male,India,Third-Party Marketplace
CUST00356,Isaac Grant,56+,Other,Canada,Online Store
CUST00357,Valerie Collins,18-25,Male,India,Online Store
CUST00358,Gloria Chavez DDS,36-45,Female,United Kingdom,Online Store
CUST00359,Jean Thomas,18-25,Male,India,Carrier Store
CUST00360,Kimberly Martin,56+,Female,Australia,Online Store
CUST00361,Jared Greer,18-25,Other,India,Third-Party Marketplace
CUST00362,Karen Webb,36-45,Male,Canada,Third-Party Marketplace
CUST00363,Amy Wright,18-25,Other,United Kingdom,Online Store
CUST00364,Taylor Mckee,46-55,Other,United Kingdom,Online Store
CUST00365,Gail Smith,46-55,Female,Australia,Third-Party Marketplace
CUST00366,Elijah Gonzalez,46-55,Female,United Kingdom,Third-Party Marketplace
CUST00367,Mr. Patrick Medina DDS,56+,Male,Canada,Online Store
CUST00368,Shari Colon,36-45,Other,Canada,Retail Store
CUST00369,Carrie Hernandez,56+,Male,United Kingdom,Carrier Store
CUST00370,Patrick Costa,36-45,Male,United States,Carrier Store
CUST00371,Jessica Ferguson,36-45,Male,United Kingdom,Retail Store
CUST00372,Stephanie Gray,46-55,Male,United Kingdom,Online Store
CUST00373,Abigail Phillips,18-25,Male,United States,Online Store
CUST00374,Megan Hale,56+,Other,Australia,Online Store
CUST00375,Renee Zuniga,46-55,Female,United Kingdom,Carrier Store
CUST00376,Theresa Stout,36-45,Female,United Kingdom,Online Store
CUST00377,John Waters,56+,Male,Canada,Third-Party Marketplace
CUST00378,Savannah Powers,36-45,Male,United Kingdom,Carrier Store
CUST00379,Linda Goodwin,56+,Other,United Kingdom,Third-Party Marketplace
CUST00380,Anthony Thompson,46-55,Other,United Kingdom,Online Store
CUST00381,Jessica Green,56+,Male,United Kingdom,Third-Party Marketplace
CUST00382,Stacy Hughes,36-45,Other,Australia,Carrier Store
CUST00383,Gary Cox,56+,Male,United States,Online Store
CUST00384,Aaron Fuller,18-25,Female,United States,Retail Store
CUST00385,Kristina Clark,56+,Male,India,Third-Party Marketplace
CUST00386,Robert Rogers,56+,Male,Canada,Online Store
CUST00387,Joseph Weaver,36-45,Female,Australia,Carrier Store
CUST00388,Anthony Smith,46-55,Other,United Kingdom,Third-Party Marketplace
CUST00389,Johnathan Proctor,36-45,Other,United States,Third-Party Marketplace
CUST00390,Katherine Lopez,36-45,Male,Canada,Third-Party Marketplace
CUST00391,Jeffrey Robinson,36-45,Female,United Kingdom,Retail Store
CUST00392,Sara Dillon,26-35,Female,United Kingdom,Online Store
CUST00393,Maria Stone,56+,Male,United Kingdom,Online Store
CUST00394,Edward Peterson,46-55,Other,United Kingdom,Retail Store
CUST00395,Joseph Baldwin,18-25,Male,Australia,Online Store
CUST00396,Nancy Miller,56+,Male,United Kingdom,Carrier Store
CUST00397,Janet Thornton,56+,Female,India,Third-Party Marketplace
CUST00398,Brooke Miller,26-35,Female,Australia,Retail Store
CUST00399,Samuel Scott,56+,Female,United Kingdom,Retail Store
CUST00400,Warren Rangel,26-35,Other,Australia,Carrier Store
CUST00401,Wendy Williams,18-25,Female,United Kingdom,Carrier Store
CUST00402,Brian Steele,46-55,Female,United States,Carrier Store
CUST00403,Matthew Ramirez,46-55,Female,United Kingdom,Retail Store
CUST00404,Samantha Berg,36-45,Other,United States,Online Store
CUST00405,Keith Miller,18-25,Other,United Kingdom,Carrier Store
CUST00406,Laura Carter,56+,Other,United Kingdom,Retail Store
CUST00407,Robert Simpson,56+,Other,Australia,Third-Party Marketplace
CUST00408,David Hahn,18-25,Male,United Kingdom,Carrier Store
CUST00409,Brooke Hayes,26-35,Female,India,Retail Store
CUST00410,David Webb,18-25,Other,United Kingdom,Online Store
CUST00411,Kyle Chandler,26-35,Other,India,Third-Party Marketplace
CUST00412,Cheyenne Adams,46-55,Other,India,Third-Party Marketplace
CUST00413,Michael Richardson,36-45,Other,United Kingdom,Third-Party Marketplace
CUST00414,Elizabeth Scott,26-35,Female,Canada,Retail Store
CUST00415,Ryan Patrick,36-45,Male,Canada,Third-Party Marketplace
CUST00416,April Mueller,26-35,Other,Australia,Online Store
CUST00417,Steven Everett,36-45,Male,United States,Online Store
CUST00418,Robert Garcia,18-25,Female,Australia,Carrier Store
CUST00419,Matthew Mathis,36-45,Other,Australia,Online Store
CUST00420,Heather Santana,46-55,Male,India,Retail Store
CUST00421,Sarah Krause,26-35,Other,United Kingdom,Retail Store
CUST00422,Steven Mcknight,46-55,Male,United Kingdom,Retail Store
CUST00423,Jacob Andrews II,56+,Other,Australia,Carrier Store
